type,node_id,label,level_m,volume_m3,easting,northing,lat,lon
Reservoir,147118,,1608.0,,702366.67,9465682.52,-4.831567,34.824754
Reservoir,147143,,1106.0,,663256.47,9550418.89,-4.066089,34.470661
Reservoir,150291,,1375.0,,662222.37,9544196.62,-4.122379,34.46145
Reservoir,150298,,1597.3,,660673.2,9540397.74,-4.156761,34.447559
Reservoir,156754,,1145.57,,480650.67,9677907.58,-2.914032,32.825889
Reservoir,156758,,1172.04,,481286.39,9677454.53,-2.918132,32.831609
Reservoir,157056,,1010.06470407136,,779008.33,9328744.03,-6.066965,35.520605
Reservoir,157083,,1206.94,,803096.88,9308936.18,-6.244889,35.73898
Tank,146453,,1777.3,322561.0,665280.64,9532427.5,-4.228765,34.489196
Tank,146454,,1781.3,54494.0,707375.04,9463085.48,-4.854926,34.869963
Tank,146458,,1500.3,24014.0,822024.66,9421354.03,-5.228312,35.904732
Tank,146460,,1537.3,5493.0,814772.51,9456433.0,-4.911658,35.837985
Tank,146461,,1402.5,156452.0,809163.89,9310601.36,-6.229556,35.793682
Tank,146495,,1471.5,32021.0,479607.22,9661002.64,-3.06697,32.816474
Tank,150339,,1293.5,20020.0,561668.22,9632500.34,-3.324691,33.555116
Tank,150353,,1365.38,6796.0,507059.08,9643972.61,-3.221055,33.063538
Tank,150367,,1431.49,34995.0,482034.82,9658726.76,-3.087564,32.838319
Tank,150652,,1629.36,17523.0,697545.26,9448965.31,-4.982844,34.781694
Tank,150666,,932.78,22504.0,756033.46,9343114.07,-5.938002,35.312619
Tank,150680,,1394.3,15487.0,698149.32,9376544.19,-5.637668,34.789028
Pump,147125,,,,702369.45,9465677.68,-4.83161,34.824779
Pump,147150,,,,663258.72,9550412.84,-4.066143,34.470682
Pump,150295,,,,662216.46,9544196.86,-4.122377,34.461397
Pump,150305,,,,660670.69,9540393.75,-4.156798,34.447536
Pump,154155,,,,660668.79,9540394.39,-4.156792,34.447519
Pump,154168,,,,662216.16,9544198.73,-4.12236,34.461394
Pump,154198,,,,663256.93,9550412.76,-4.066144,34.470665
Pump,154839,,,,663260.53,9550413.62,-4.066136,34.470698
Pump,154855,,,,662216.09,9544194.77,-4.122396,34.461393
Pump,154879,,,,660672.09,9540392.66,-4.156807,34.447549
Pump,155732,,,,663262.25,9550413.98,-4.066133,34.470713
Pump,155767,,,,660673.68,9540391.71,-4.156816,34.447563
Pump,156091,,,,662216.1,9544192.75,-4.122414,34.461393
Pump,156741,,,,480657.54,9677905.03,-2.914056,32.825951
Pump,156745,,,,480656.37,9677903.56,-2.914069,32.82594
Pump,156748,,,,480655.46,9677902.17,-2.914081,32.825932
Pump,156751,,,,480654.26,9677900.72,-2.914094,32.825921
Pump,156825,,,,481290.23,9677450.21,-2.918171,32.831643
Pump,156828,,,,481288.43,9677449.66,-2.918176,32.831627
Pump,156831,,,,481286.61,9677448.93,-2.918183,32.831611
Pump,156834,,,,481285.12,9677448.35,-2.918188,32.831597
Pump,157057,,,,779010.96,9328740.73,-6.066994,35.520629
Pump,157084,,,,803101.6,9308935.89,-6.244892,35.739023
Valve,147134,,,,702364.4,9465686.34,-4.831532,34.824733
Valve,150318,,,,660669.29,9540400.06,-4.15674,34.447524
Valve,150327,,,,662225.42,9544193.35,-4.122409,34.461477
Valve,150336,,,,663254.81,9550423.03,-4.066051,34.470646
Valve,150350,,,,561671.11,9632496.47,-3.324726,33.555142
Valve,150364,,,,507058.07,9643967.74,-3.221099,33.063529
Valve,150378,,,,482038.4,9658731.37,-3.087522,32.838351
Valve,150401,,,,822023.41,9421349.25,-5.228355,35.90472
Valve,150411,,,,814766.0,9456431.61,-4.911671,35.837927
Valve,150417,,,,809156.54,9310597.92,-6.229587,35.793616
Valve,150663,,,,697547.56,9448971.07,-4.982791,34.781715
Valve,150670,,,,756036.55,9343110.63,-5.938033,35.312647
Valve,150684,,,,698151.82,9376539.9,-5.637706,34.789051
Valve,150703,,,,707373.68,9463090.59,-4.85488,34.869951
Valve,150712,,,,665272.92,9532425.32,-4.228785,34.489127
Valve,154149,,,,660668.04,9540398.49,-4.156755,34.447512
Valve,154158,,,,665274.31,9532424.26,-4.228794,34.489139
Valve,154177,,,,662226.78,9544194.53,-4.122398,34.46149
Valve,154858,,,,662224.1,9544192.15,-4.122419,34.461466
Valve,154876,,,,660670.05,9540401.75,-4.156725,34.44753
Valve,154906,,,,665275.27,9532422.86,-4.228807,34.489148
Valve,155721,,,,665271.66,9532426.92,-4.22877,34.489115
Valve,155739,,,,662222.77,9544190.74,-4.122432,34.461454
Valve,155771,,,,660670.86,9540403.19,-4.156712,34.447538
Valve,156705,,,,479608.28,9661012.3,-3.066883,32.816484
Valve,156708,,,,479605.92,9661011.52,-3.06689,32.816463
Valve,156711,,,,479603.95,9661010.47,-3.066899,32.816445
Valve,156714,,,,479601.82,9661009.5,-3.066908,32.816426
Valve,156813,,,,481283.15,9677459.04,-2.918091,32.83158
Valve,156816,,,,481282.22,9677457.31,-2.918107,32.831571
Valve,156819,,,,481281.0,9677455.92,-2.918119,32.83156
Valve,156822,,,,481280.09,9677454.5,-2.918132,32.831552
Valve,157063,,,,779005.84,9328746.95,-6.066939,35.520583
Valve,157077,,,,803091.47,9308936.33,-6.244888,35.738932
Valve,154280,,,,755932.71,9341950.76,-5.948521,35.311753
Valve,154286,,,,694097.92,9369414.69,-5.702245,34.752656
Valve,154301,,,,697759.27,9448940.81,-4.98306,34.783624
Valve,157041,,,,706191.95,9362514.27,-5.764293,34.862026
